# abbr_inter_2017_02.tsvのユーザ回答を集計したファイル
# 本tsvファイルの列名は以下の通り。ただし、この行のように、「#」で始める行はコメント行。
#語彙素ID	原言語側で２つの部分に分割できるカタカナ「語彙素」	当該語彙素の原言語側での表記（スペース区切り）	原言語側の分割に従って分割した語彙素の前部	語彙素原言語側表記での前部	語彙素前部中で原言語からの省略が起きて「いる」と回答したユーザ数	語彙素前部中で原言語からの省略が起きて「いない」と回答したユーザ数	原言語側の分割に従って分割した語彙素の後部	語彙素原言語側表記での後部	語彙素後部中で原言語からの省略が起きて「いる」と回答したユーザ数	語彙素後部中で原言語からの省略が起きて「いない」と回答したユーザ数
82	アイアイ	aye aye	アイ	aye	abb:0	!abb:100	アイ	aye	abb:0	!abb:100
279	アオザイ	ao dai	アオ	ao	abb:2	!abb:98	ザイ	dai	abb:2	!abb:98
883	アドリブ	ad lib	アド	ad	abb:2	!abb:97	リブ	lib	abb:2	!abb:97
1239	アルデンテ	al dente	アル	al	abb:3	!abb:196	デンテ	dente	abb:3	!abb:196
1263	アルミサッシ	aluminium sash	アルミ	aluminium	abb:94	!abb:6	サッシ	sash	abb:0	!abb:100
1265	アルミチューブ	aluminium tube	アルミ	aluminium	abb:87	!abb:13	チューブ	tube	abb:0	!abb:100
1267	アルミホイル	aluminium foil	アルミ	aluminium	abb:261	!abb:39	ホイル	foil	abb:4	!abb:296
1335	アングロサクソン	Anglo Saxon	アングロ	Anglo	abb:3	!abb:296	サクソン	Saxon	abb:2	!abb:297
1925	イズイット	is it	イズ	is	abb:1	!abb:98	イット	it	abb:1	!abb:98
3615	エアコン	air conditioner	エア	air	abb:7	!abb:91	コン	conditioner	abb:97	!abb:1
3920	エトセトラ	et cetra	エト	et	abb:3	!abb:196	セトラ	cetra	abb:2	!abb:197
5433	オンステージ	on stage	オン	on	abb:0	!abb:97	ステージ	stage	abb:0	!abb:97
5531	オートバイ	auto bicycle	オート	auto	abb:3	!abb:97	バイ	bicycle	abb:98	!abb:2
5558	オーライ	all right	オー	all	abb:56	!abb:44	ライ	right	abb:61	!abb:39
6758	カットオフ	cut off	カット	cut	abb:4	!abb:296	オフ	off	abb:3	!abb:297
8665	キックオフ	kick off	キック	kick	abb:1	!abb:99	オフ	off	abb:1	!abb:99
8915	キャンニュ	can you	キャン	can	abb:0	!abb:97	ニュ	you	abb:20	!abb:77
