# abbr_aggregation_2017_02.tsvの集計を基に抽出した原言語からの省略形を内部に含む短単位語彙素
# abbr_aggregation_2017_02.tsvで集計したabbrがabbr+!abbrの100％以上になるものにabbrマークを付け（それ以外は!abbr）、それを含む短単位のみを列挙した。
# 本tsvファイルの列名は以下の通り。ただし、この行のように、「#」で始める行はコメント行。
#語彙素ID	原言語側で２つの部分に分割できるカタカナ「語彙素」	当該語彙素の原言語側での表記（スペース区切り）	原言語側の分割に従って分割した語彙素の前部	語彙素原言語側表記での前部	語彙素前部中で原言語からの省略が起きているか（abb）否か（!abb）	原言語側の分割に従って分割した語彙素の後部	語彙素原言語側表記での後部	語彙素前部中で原言語からの省略が起きているか（abb）否か（!abb）
18853	ジーパン	jeans pants	ジー	jeans	abbr	パン	pants	!abbr
19386	スフ	staple fibre	ス	staple	abbr	フ	fibre	abbr
20134	セクハラ	sexual harassment	セク	sexual	abbr	ハラ	harassment	abbr
30384	ハンスト	hunger strike	ハン	hunger	abbr	スト	strike	abbr
30953	パソコン	personal computer	パソ	personal	abbr	コン	computer	abbr
30983	パトカー	patrol car	パト	patrol	abbr	カー	car	!abbr
35664	マザコン	mother complex	マザ	mother	!abbr	コン	complex	abbr
41403	ワープロ	word processor	ワー	word	!abbr	プロ	processor	abbr
41981	アメフト	American football	アメ	American	abbr	フト	football	abbr
44003	アメフェス	American festival	アメ	American	abbr	フェス	festival	abbr
44263	スタジャン	stadium jumper	スタ	stadium	abbr	ジャン	jumper	abbr
83756	バリコン	variable condenser	バリ	variable	abbr	コン	condenser	abbr
120834	スパコン	super computer	スパ	super	!abbr	コン	computer	abbr
138959	アカハラ	academic harassment	アカ	academic	!abbr	ハラ	harassment	abbr
156404	イメクラ	image club	イメ	image	abbr	クラ	club	abbr
160153	カメリハ	camera rehearsal	カメ	camera	abbr	リハ	rehearsal	abbr
164379	モガ	modern girl	モ	modern	abbr	ガ	girl	abbr
175601	エンプラ	engineering plastic	エン	engineering	abbr	プラ	plastic	abbr
181953	エレアコ	electric acoustic	エレ	electric	abbr	アコ	acoustic	abbr
181997	ジージャン	jeans jumper	ジー	jeans	abbr	ジャン	jumper	!abbr
182020	セフレ	sex friend	セ	sex	abbr	フレ	friend	!abbr
183025	インパネ	instrumental panel	イン	instrumental	abbr	パネ	panel	!abbr
185751	スケブ	sketch book	スケ	sketch	!abbr	ブ	book	abbr
186972	マスコン	Master controller	マス	Master	!abbr	コン	controller	abbr
187057	ソニプラ	Sony plaza	ソニ	Sony	!abbr	プラ	plaza	abbr
191220	プリカ	prepaid card	プリ	prepaid	abbr	カ	card	!abbr
220939	リゾカジ	resort casino	リゾ	resort	abbr	カジ	casino	!abbr
229527	エアサス	air suspension	エア	air	!abbr	サス	suspension	abbr
231844	ブラコン	brother complex	ブラ	brother	abbr	コン	complex	abbr
240486	マケスピ	market speed	マケ	market	abbr	スピ	speed	abbr
240876	ポケコン	pocket computer	ポケ	pocket	abbr	コン	computer	abbr
257925	シスコン	sister complex	シス	sister	!abbr	コン	complex	abbr
