# abbr_aggregation_2017_02.tsvの集計を基に抽出した原言語からの省略形を内部に含む短単位語彙素
# abbr_aggregation_2017_02.tsvでabbの割合がabb+!abbの50％以上のものを列挙した。
# 本tsvファイルの列名は以下の通り。ただし、この行のように、「#」で始める行はコメント行。
#語彙素ID	原言語側で２つの部分に分割できるカタカナ「語彙素」	当該語彙素の原言語側での表記（スペース区切り）	原言語側の分割に従って分割した語彙素の前部	語彙素原言語側表記での前部	語彙素前部中で原言語からの省略が起きているか（abb）否か（!abb）	原言語側の分割に従って分割した語彙素の後部	語彙素原言語側表記での後部	語彙素前部中で原言語からの省略が起きているか（abb）否か（!abb）
1263	アルミサッシ	aluminium sash	アルミ	aluminium	abb	サッシ	sash	!abb
1265	アルミチューブ	aluminium tube	アルミ	aluminium	abb	チューブ	tube	!abb
1267	アルミホイル	aluminium foil	アルミ	aluminium	abb	ホイル	foil	!abb
3615	エアコン	air conditioner	エア	air	!abb	コン	conditioner	abb
5531	オートバイ	auto bicycle	オート	auto	!abb	バイ	bicycle	abb
5558	オーライ	all right	オー	all	abb	ライ	right	abb
10773	グランプリ	grand prix	グラン	grand	abb	プリ	prix	abb
11217	ケミコン	chemical condenser	ケミ	chemical	abb	コン	condenser	abb
18853	ジーパン	jeans pants	ジー	jeans	abb	パン	pants	abb
19220	スタメン	starting member	スタ	starting	abb	メン	member	abb
19386	スフ	staple fibre	ス	staple	abb	フ	fibre	abb
20134	セクハラ	sexual harassment	セク	sexual	abb	ハラ	harassment	abb
20747	ゼネスト	general strike	ゼネ	general	abb	スト	strike	abb
29356	ハイカラ	high collar	ハイ	high	!abb	カラ	collar	abb
29441	ハイテク	high technology	ハイ	high	!abb	テク	technology	abb
30384	ハンスト	hunger strike	ハン	hunger	abb	スト	strike	abb
30953	パソコン	personal computer	パソ	personal	abb	コン	computer	abb
30983	パトカー	patrol car	パト	patrol	abb	カー	car	!abb
33811	プロレス	professional wrestling	プロ	professional	abb	レス	wrestling	abb
34099	ベア	base up	ベ	base	abb	ア	up	abb
35664	マザコン	mother complex	マザ	mother	abb	コン	complex	abb
41403	ワープロ	word processor	ワー	word	abb	プロ	processor	abb
41981	アメフト	American football	アメ	American	abb	フト	football	abb
44003	アメフェス	American festival	アメ	American	abb	フェス	festival	abb
44263	スタジャン	stadium jumper	スタ	stadium	abb	ジャン	jumper	abb
45421	アメコミ	American comic	アメ	American	abb	コミ	comic	abb
82528	アフレコ	after recording	アフ	after	abb	レコ	recording	abb
83756	バリコン	variable condenser	バリ	variable	abb	コン	condenser	abb
86066	プチブル	petit bourgeois	プチ	petit	!abb	ブル	bourgeois	abb
96376	フリマ	flea market	フリ	flea	abb	マ	market	abb
97851	パンタカバー	pantograph cover	パンタ	pantograph	abb	カバー	cover	!abb
101955	フリペ	free paper	フリ	free	abb	ペ	paper	abb
115289	キャバクラ	cabaret club	キャバ	cabaret	abb	クラ	club	abb
115302	キャンギャル	campaign girl	キャン	campaign	abb	ギャル	girl	!abb
120834	スパコン	super computer	スパ	super	abb	コン	computer	abb
132937	ゲネプロ	general probe	ゲネ	general	abb	プロ	probe	abb
138943	コスプレ	costume play	コス	costume	abb	プレ	play	abb
138959	アカハラ	academic harassment	アカ	academic	abb	ハラ	harassment	abb
139050	デフレスパイラル	deflation spiral	デフレ	deflation	abb	スパイラル	spiral	!abb
140321	ローテク	low technology	ロー	low	!abb	テク	technology	abb
140330	ワンレン	one length	ワン	one	!abb	レン	length	abb
141878	エンスト	engine stop	エン	engine	abb	スト	stop	abb
142242	ビニタイル	vinyl tile	ビニ	vinyl	abb	タイル	tile	!abb
142265	ボディコン	body conscious	ボディ	body	!abb	コン	conscious	abb
143513	シスオペ	system operator	シス	system	abb	オペ	operator	abb
145826	ハイソ	high society	ハイ	high	!abb	ソ	society	abb
146889	ストウハ	straw hat	ストウ	straw	!abb	ハ	hat	abb
147022	トレパン	training pants	トレ	training	abb	パン	pants	abb
152605	チープロ	chief producer	チー	chief	abb	プロ	producer	abb
154997	クロカン	ross country	クロ	ross	abb	カン	country	abb
156094	シネコン	cinema complex	シネ	cinema	abb	コン	complex	abb
156404	イメクラ	image club	イメ	image	abb	クラ	club	abb
157206	オーラス	all last	オー	all	abb	ラス	last	abb
158691	ラスボス	last boss	ラス	last	abb	ボス	boss	!abb
159890	アルミパネル	aluminium panel	アルミ	aluminium	abb	パネル	panel	!abb
160153	カメリハ	camera rehearsal	カメ	camera	abb	リハ	rehearsal	abb
160513	ロープロ	low profile	ロー	low	!abb	プロ	profile	abb
161780	ピンサロ	pink salon	ピン	pink	abb	サロ	salon	abb
164379	モガ	modern girl	モ	modern	abb	ガ	girl	abb
165740	ニュートラ	new traditional	ニュー	new	!abb	トラ	traditional	abb
168682	プラマイ	plus minus	プラ	plus	abb	マイ	minus	abb
170931	プロファイ	project finance	プロ	project	abb	ファイ	finance	abb
172705	デイトレ	day trade	デイ	day	!abb	トレ	trade	abb
173744	ラブコメ	love comedy	ラブ	love	!abb	コメ	comedy	abb
175601	エンプラ	engineering plastic	エン	engineering	abb	プラ	plastic	abb
178935	アニパロ	animation parody	アニ	animation	abb	パロ	parody	abb
180676	チノパン	chino pants	チノ	chino	!abb	パン	pants	abb
180998	ポケミス	pocket mystery	ポケ	pocket	abb	ミス	mystery	abb
181953	エレアコ	electric acoustic	エレ	electric	abb	アコ	acoustic	abb
181997	ジージャン	jeans jumper	ジー	jeans	abb	ジャン	jumper	abb
182020	セフレ	sex friend	セ	sex	abb	フレ	friend	abb
182048	ノーパソ	note PC	ノー	note	abb	パソ	PC	abb
183025	インパネ	instrumental panel	イン	instrumental	abb	パネ	panel	abb
183414	コンパネ	control panel	コン	control	abb	パネ	panel	abb
183440	ドルガバ	Dolce Gabbana	ドル	Dolce	abb	ガバ	Gabbana	abb
183503	リクスタ	recruit staffing	リク	recruit	abb	スタ	staffing	abb
183828	エキパイ	exhaust pipe	エキ	exhaust	abb	パイ	pipe	abb
183898	ツアコン	tour conductor	ツア	tour	abb	コン	conductor	abb
184366	サマソニ	summer sonic	サマ	summer	abb	ソニ	sonic	abb
184372	グラボ	graphics board	グラ	graphics	abb	ボ	board	abb
184472	チンスポ	chin spoiler	チン	chin	!abb	スポ	spoiler	abb
184493	オナホール	onanie hole	オナ	onanie	abb	ホール	hole	!abb
185751	スケブ	sketch book	スケ	sketch	abb	ブ	book	abb
186972	マスコン	Master controller	マス	Master	abb	コン	controller	abb
187057	ソニプラ	Sony plaza	ソニ	Sony	abb	プラ	plaza	abb
187779	レトロゲー	retro game	レトロ	retro	!abb	ゲー	game	abb
191220	プリカ	prepaid card	プリ	prepaid	abb	カ	card	abb
193925	バイオレメ	bio remediation	バイオ	bio	!abb	レメ	remediation	abb
196241	マスプロ	mass production	マス	mass	!abb	プロ	production	abb
196481	ノーブラ	no brassiere	ノー	no	!abb	ブラ	brassiere	abb
196490	アメラグ	American rugby	アメ	American	abb	ラグ	rugby	abb
200735	ワンピ	one piece	ワン	one	!abb	ピ	piece	abb
201876	コーハウス	cooperative house	コー	cooperative	abb	ハウス	house	!abb
203132	ミニサテ	mini satellite	ミニ	mini	!abb	サテ	satellite	abb
203157	シンロック	synthetic rock	シン	synthetic	abb	ロック	rock	!abb
204415	リレバン	relationship banking	リレ	relationship	abb	バン	banking	abb
207330	アイドルアナ	idle announcer	アイドル	idle	!abb	アナ	announcer	abb
208367	オトパ	auto pilot	オト	auto	abb	パ	pilot	abb
208894	メントレ	mental training	メン	mental	abb	トレ	training	abb
209602	モードラ	motor drive	モー	motor	abb	ドラ	drive	abb
216432	マザフィグ	mother fixation	マザ	mother	abb	フィグ	fixation	abb
220939	リゾカジ	resort casino	リゾ	resort	abb	カジ	casino	abb
222280	ファザコン	father complex	ファザ	father	abb	コン	complex	abb
228993	サブコン	sub control	サブ	sub	!abb	コン	control	abb
229520	フルコン	full computer	フル	full	!abb	コン	computer	abb
229527	エアサス	air suspension	エア	air	!abb	サス	suspension	abb
230204	ハイコンプ	high compression	ハイ	high	!abb	コンプ	compression	abb
231844	ブラコン	brother complex	ブラ	brother	abb	コン	complex	abb
233842	グルイン	group interview	グル	group	abb	イン	interview	abb
234017	スペアナ	spectrum analyzer	スペ	spectrum	abb	アナ	analyzer	abb
235215	マテハン	material handlig	マテ	material	abb	ハン	handlig	abb
235374	マテメソ	materials methods	マテ	materials	abb	メソ	methods	abb
237794	トレカ	trading card	トレ	trading	abb	カ	card	abb
238227	セルタン	self tanning	セル	self	abb	タン	tanning	abb
240486	マケスピ	market speed	マケ	market	abb	スピ	speed	abb
240876	ポケコン	pocket computer	ポケ	pocket	abb	コン	computer	abb
242294	カラバリ	color variation	カラ	color	abb	バリ	variation	abb
243577	ノーコン	no control	ノー	no	!abb	コン	control	abb
244979	バーフェン	over fender	バー	over	abb	フェン	fender	abb
245982	デジアナ	digital analog	デジ	digital	abb	アナ	analog	abb
245984	アナアナ	analog analog	アナ	analog	abb	アナ	analog	abb
254588	ネトサ	net surfing	ネト	net	abb	サ	surfing	abb
255283	トンキロ	ton kilometer	トン	ton	!abb	キロ	kilometer	abb
257925	シスコン	sister complex	シス	sister	abb	コン	complex	abb
