# ref_src_2019_03.tsv をマルチクラスのGLAD法で品質評価した結果
# 本tsvファイルの列名は以下の通り。ただし、この行のように、「#」で始める行はコメント行。
#語彙素ID_1	語彙素読み1	語彙素1	語彙素ID_2	語彙素読み2	語彙素2	2つの語彙素が近しい意味を持つ確率
22269	タシアワセル	足し合わせる	22268	タシアワス	足し合わす	0.99225
22387	タチキレル	断ち切れる	22386	タチキル	断ち切る	0.997393
22304	タスケブネ	助け船	22301	タスケ	助け	0.948564
40079	リバーブレーション	リバーブレーション-reverberation	311484	リバーブ	リバーブ-reverb	0.902778
159916	トメグチ	止め口	26631	トメ	止め	0.837143
171592	ウチワケル	打ち分ける	238510	ウチワケ	打ち分け	0.999997
37381	メグマレル	恵まれる	67467	メグム	恵む	0.987372
207566	ナマケグセ	怠け癖	193727	ナマケ	怠け	0.998439
212000	フォトグラフ	フォトグラフ-photograph	32481	フォト	フォト-photo	1.0
212486	メクリアガル	捲り上がる	37375	メクル	捲る	0.831403
12914	コノマシイ	好ましい	12917	コノム	好む	0.86496
62909	ネリアワセル	練り合わせる	92639	ネリアワス	練り合わす	1.0
174056	ヨミキカセル	読み聞かせる	191472	ヨミキカス	読み聞かす	0.94987
6080	カキトリ	書き取り	6124	カク	書く	0.943479
5971	カエリギワ	帰り際	5969	カエリ	帰り	0.99224
5885	カイヒカエル	買い控える	5888	カイビカエ	買い控え	0.999656
163075	タオルケット	タオルケット	21984	タオル	タオル-towel	0.996492
162480	シェアード	シェアード-shared	14992	シェア	シェア-share	0.98925
301381	オモイソメル	思い初める	5220	オモイ	思い	0.84699
29708	ハシリコミ	走り込み	29712	ハシル	走る	0.999402
87116	ウチハナス	打ち放す	33401	ブツ	打つ	0.934608
87196	キキステル	聞き捨てる	49616	キキズテ	聞き捨て	0.854703
134167	バイオレーション	バイオレーション-violation	30521	バイオ	バイオ-bio	0.811907
172064	ウナリトバス	唸り飛ばす	179804	ウナリオン	唸り音	0.90515
91183	ヨイクタビレル	酔い草臥れる	307161	ヨイフス	酔い伏す	0.904718
35729	マゼアワセル	混ぜ合わせる	90441	マゼアワス	混ぜ合わす	1.0
39546	ヨワマル	弱まる	301057	ヨワリ	弱り	0.993922
214704	ウカレハズム	浮かれ弾む	330929	ウカレ	浮かれ	0.988764
311220	デモグラフィック	デモグラフィック	133872	デモグラフィー	デモグラフィー-demography	0.98385
65132	フキイタ	葺き板	63545	フキ	葺き	0.894509
253028	ジメチルアミノエトキシ	ジメチルアミノエトキシ-dimethylaminoethoxy	252416	ジメチルアミノ	ジメチルアミノ-dimethylamino	0.916786
173003	ツキカタメル	突き固める	175512	ツキカタメ	突き固め	0.991958
172973	フミトドロカセル	踏み轟かせる	194191	フミツケ	踏み付け	0.874104
196027	スカルプター	スカルプター-sculptor	83185	スカル	スカル-scull	0.815466
33367	ブッカケル	打っ掛ける	196973	ブッカケ	打っ掛け	0.999932
53999	サシトメル	差し止める	14155	サシトメ	差し止め	0.999677
